,spy_rt,d_tbond
const,0.0013357371090994422,-0.0027320800947433395
L1.spy_rt,-0.059583832217172464,-0.09319204629928171
L1.d_tbond,-0.007500286669781942,-0.049622517599367914
L2.spy_rt,0.04813503307926424,0.23796565495828667
L2.d_tbond,-0.000597058216731613,0.042718182426939526
L3.spy_rt,-0.04402208035691524,-0.12873878429236896
L3.d_tbond,-0.0038707529417968184,0.04551903434613575
L4.spy_rt,-0.04702783131662436,-0.05039930855170597
L4.d_tbond,-0.006365440053738592,0.04633621705880578
L5.spy_rt,0.0007797970079840507,0.0898287087822075
L5.d_tbond,0.002972071536866841,-0.043485260406504966
L6.spy_rt,0.0327703463990167,0.5188081579327406
L6.d_tbond,-0.006704567341824873,-0.0506640837327746
L7.spy_rt,-0.06071474424401084,0.2080960397837136
L7.d_tbond,0.01016130003105578,-0.025747568130840483
