,d_tbond,spy_rt
const,-0.004479552262351927,0.0011310613625956875
covid,-0.022209080030459124,-0.0009404361322691204
rate_hike,0.01458846462259155,0.0015669162835398886
L1.d_tbond,-0.05284719986858491,-0.008006373811848959
L1.spy_rt,-0.08926594083652582,-0.059939828397988074
L2.d_tbond,0.03939275076622783,-0.0008046592384935708
L2.spy_rt,0.23363875130548462,0.04723631780399422
L3.d_tbond,0.042817244247566076,-0.004084975440208528
L3.spy_rt,-0.13250908367004927,-0.045425424420234554
L4.d_tbond,0.04333862223635608,-0.0063336909674336144
L4.spy_rt,-0.05590279583304849,-0.04744928656702371
L5.d_tbond,-0.044743165167529464,0.002936816186235911
L5.spy_rt,0.07976321617310317,0.0007601689943207197
L6.d_tbond,-0.05344869780021702,-0.007118805524560323
L6.spy_rt,0.5205085664512624,0.03405309590704545
L7.d_tbond,-0.029194359440609954,0.00970297762061505
L7.spy_rt,0.21339064257597443,-0.06151116298371384
